,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
985,大園區,房地(土地+建物)+車位,桃園市大園區高鐵南路一段31~60號,19.25,住,,,1081005,土地1建物1車位1,十七層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060815,149.95999999999998,3,2,2,有,有,14300000,112192,坡道平面,35.87,1500000,,RPUNMLKKJHPFFEH48CA
990,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區大興路1~30號,22.54,住,,,1081207,土地1建物1車位1,十三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041103,169.32,3,1,2,有,有,9480000,60497,坡道平面,35.76,1400000,,RPOOMLOKJHPFFEH38CA
1007,八德區,房地(土地+建物)+車位,桃園市八德區金和路61~90號,18.97,住,,,1081217,土地1建物1車位2,十層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960815,145.32,3,1,2,有,有,8900000,61244,坡道機械,27.94,0,兩個車位為上下機械車位,RPPNMLMKJHPFFFH28CA
1011,八德區,房地(土地+建物)+車位,桃園市八德區建德路241~270號,21.98,商,,,1081129,土地1建物1車位1,十二層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031006,183.69,3,2,2,有,有,8880000,48342,坡道平面,33.06,0,,RPUNMLOKJHPFFFH98CA
1012,八德區,房地(土地+建物)+車位,桃園市八德區高城六街61~90號,14.51,商,,,1081128,土地1建物1車位1,十一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950329,142.04,3,2,2,有,有,6350000,44706,坡道平面,0.0,0,,RPWNMLQKJHPFFFH76CA
1013,八德區,房地(土地+建物)+車位,桃園市八德區中正路181~210號,18.65,商,,,1081126,土地1建物1車位1,二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040123,153.63,3,2,2,有,有,8300000,54026,坡道平面,0.0,0,及機車位壹位,RPOOMLMLJHPFFFH38CA
1035,平鎮區,房地(土地+建物),桃園市平鎮區中豐路181~210號,5.09,住,,,1081211,土地1建物1車位0,十七層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860501,40.019999999999996,1,1,1,有,有,1850000,46227,,0.0,0,,RPOOMLMLJHPFFGH48CA
1038,龜山區,房地(土地+建物)+車位,桃園市龜山區文興路181~210號,15.42,商,,,1081121,土地1建物1車位1,三層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941108,156.57,3,2,2,有,有,12200000,77920,坡道平面,33.07,0,,RPWNMLTJJHPFFHH17CA
1047,龜山區,房地(土地+建物),桃園市龜山區長峰路1~30號,26.19,住,,,1080517,土地1建物1車位0,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920821,146.48000000000002,3,2,2,有,有,6280000,42873,,0.0,0,,RPOSMLKLJHPFFHH78CA
1054,桃園區,房地(土地+建物)+車位,桃園市桃園區中埔一街88巷61~90號,26.47,住,,,1081207,土地1建物1車位2,七層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961001,212.28,4,2,2,有,有,16480000,91994,坡道平面,61.4,2600000,含增建或未登記建物。;,RPVPMLMLJHPFFAH78DA
1065,龜山區,房地(土地+建物)+車位,桃園市龜山區長峰路61~90號,24.21,住,,,1081117,土地1建物1車位1,八層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030224,194.05,3,2,2,有,有,10500000,54110,坡道平面,28.83,0,,RPTNMLOKJHPFFHH56DA
1067,八德區,房地(土地+建物)+車位,桃園市八德區大智路121~150號,15.03,住,,,1081221,土地1建物1車位1,十三層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001118,123.16,2,2,1,有,有,8000000,74675,坡道平面,30.76,1100000,含增建或未登記建物。,RPQOMLNKJHPFFFH68DA
1080,八德區,房地(土地+建物)+車位,桃園市八德區廣豐路121~150號,23.25,住,,,1081128,土地1建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040609,163.89,3,2,2,有,有,11250000,72415,坡道平面,29.25,1500000,,RPUNMLLLJHPFFFH88DA
1084,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區奉化路258巷61~90號,18.79,住,,,1081215,土地1建物1車位1,五層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950218,113.80000000000001,2,2,1,有,有,7380000,64851,坡道平面,0.0,1200000,,RPXPMLQKJHPFFEH07DA
1085,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南祥路91~120號,25.53,住,,,1081214,土地1建物1車位1,九層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880707,181.7,3,2,2,有,有,10300000,56687,坡道平面,0.0,1200000,含增建或未登記建物。;,RPPQMLKLJHPFFEH48DA
1086,中壢區,房地(土地+建物)+車位,桃園市中壢區華美一路121~150號,15.84,其他,,,1081020,土地1建物1車位1,四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950123,154.54,3,2,2,有,有,6450000,41737,坡道平面,0.0,0,含增建或未登記建物。,RPRTMLRKJHPFFBH66DA
1092,中壢區,房地(土地+建物),桃園市中壢區中山東路三段61~90號,6.14,商,,,1080826,土地1建物1車位0,二十三層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970428,78.77,2,2,1,有,有,4800000,60937,,0.0,0,含增建或未登記建物。,RPXQMLNKJHPFFBH56DA
1104,平鎮區,房地(土地+建物)+車位,桃園市平鎮區安平街34巷1~30號,14.6,商,,,1081201,土地1建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021201,149.91,3,2,2,有,有,8355000,55733,坡道平面,0.0,0,,RPOPMLKLJHPFFGH38CA
1112,八德區,房地(土地+建物)+車位,桃園市八德區廣豐路121~150號,16.99,住,,,1081124,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040609,129.25,2,2,1,有,有,8100000,62669,坡道平面,0.0,0,,RPOOMLQKJHPFFFH68CA
1122,八德區,房地(土地+建物),桃園市八德區陸光街31~60號,24.66,住,,,1081116,土地1建物1車位0,一層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881125,139.12,3,2,2,有,有,7300000,52473,,0.0,0,,RPVOMLNKJHPFFFH09CA
1126,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區中正路271~300號,21.57,住,,,1081207,土地1建物2車位1,十六層,17.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910523,240.06,4,2,2,有,有,15500000,64567,坡道平面,0.0,0,,RPOOMLOJKHPFFEH38CA
1129,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南福街61~90號,17.48,住,,,1081129,土地1建物1車位1,二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890405,154.9,3,2,2,有,有,10300000,66495,坡道平面,34.2,0,,RPQPMLKLJHPFFEH38CA
1136,蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南昌路31~60號,18.12,其他,,,1081210,土地1建物1車位1,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951124,184.87,3,2,2,有,有,13600000,73565,坡道平面,48.58,0,,RPROMLOKJHPFFEH68CA
1149,楊梅區,房地(土地+建物)+車位,桃園市楊梅區文化街189巷1~30號,26.24,住,,,1081124,土地1建物1車位1,五層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920219,162.99,3,2,2,有,有,5000000,30677,坡道平面,0.0,0,,RPRNMLNLJHPFFDH48CA
1200,中壢區,房地(土地+建物)+車位,桃園市中壢區中北路二段211~240號,45.34,商,,,1081218,土地1建物1車位2,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971106,380.0,4,2,2,有,有,29500000,77630,坡道平面,0.0,0,,RPQTMLNKJHPFFBH68CA
