鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段117巷38弄1~30號,35.18,住,,,1081031,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070614,207.21,3,2,2,有,有,36850000,200234,坡道平面,36.41,2650000,,RPUOMLMLJHPFFEA18CA
北投區,房地(土地+建物),臺北市北投區中山路1~30號,22.5,其他,,,1081205,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701231,159.12,3,1,1,有,有,14000000,87984,,0.0,0,,RPOOMLKMJHPFFEA47CA
士林區,房地(土地+建物),臺北市士林區延平北路五段213巷1~30號,51.77,住,,,1081125,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610905,129.95,3,2,1,有,有,17690000,136129,,0.0,0,受債權債務影響或債務抵償之交易。;,RPWOMLLMJHPFFEA38CA
大安區,房地(土地+建物),臺北市大安區溫州街1~30號,31.34,住,,,1081115,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720125,158.96,3,2,1,有,有,12000000,75491,,0.0,0,親友、員工或其他特殊關係間之交易。;二等親間之交易。,RPQOMLMJJHPFFFA67CA
大安區,房地(土地+建物),臺北市大安區信義路四段181~210號,3.61,商,,,1081206,土地2建物1車位0,三層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0850705,38.34,1,1,1,有,有,9900000,258216,,0.0,0,,RPQNMLOJJHPFFFA77CA
大安區,房地(土地+建物),臺北市大安區忠孝東路三段61~90號,13.12,商,,,1081206,土地1建物1車位0,六層,十一層,辦公商業大樓,商業用,鋼筋混凝土造,0830609,109.73,3,2,1,有,有,27500000,250615,,0.0,0,,RPSNMLQJJHPFFFA18CA
大安區,車位,臺北市大安區市民大道四段121~150號,0.02,住,,,1081118,土地0建物0車位1,一層,十層,其他,見其他登記事項,鋼筋混凝土造,0950828,4.859999999999999,0,0,0,有,有,1270000,,升降機械,0.0,1270000,,RPPNMLQKJHPFFFA97CA
文山區,房地(土地+建物),臺北市文山區和興路26巷1~30號,19.27,住,,,1081128,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980317,82.7,2,1,1,有,有,12600000,152358,,0.0,0,含增建或未登記建物。,RPRNMLNKJHPFFAA47DA
文山區,房地(土地+建物)+車位,臺北市文山區指南路二段45巷9弄1~30號,33.78,住,,,1081122,土地1建物1車位1,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870113,138.07999999999998,3,2,2,有,有,18050000,163242,坡道平面,39.76,2000000,含增建或未登記建物。,RPTOMLKLJHPFFAA57DA
萬華區,房地(土地+建物),臺北市萬華區汀州路一段1~30號,20.68,商,,,1081127,土地2建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0740319,168.49,5,4,3,有,無,25500000,151344,,0.0,0,含增建或未登記建物。,RPRNMLPJJHPFFBA67DA
大同區,房地(土地+建物),臺北市大同區民權西路121~150號,3.46,商,,,1081123,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970623,41.08,2,1,1,有,有,8500000,206913,,0.0,0,含增建或未登記建物。;,RPOOMLQJJHPFFBA57DA
內湖區,房地(土地+建物),臺北市內湖區金龍路112巷31~60號,24.58,住,,,1081024,土地3建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701230,87.14,3,2,1,有,有,12120000,139087,,0.0,0,含增建或未登記建物。,RPQNMLOJJHPFFCA57DA
